symbol	ensg	mapped	log_ppm
SFPQ	ENSG00000116560	True	2.305351369446624
MMRN1	ENSG00000138722	True	2.305351369446624
ATRN	ENSG00000088812	True	2.303196057420489
RPL17	ENSG00000265681	True	2.303196057420489
SMR3B		False	2.303196057420489
UQCRH	ENSG00000173660	True	2.303196057420489
VDAC3	ENSG00000078668	True	2.3010299956639813
GNB2	ENSG00000172354	True	2.3010299956639813
PFKP	ENSG00000067057	True	2.3010299956639813
ST13	ENSG00000100380	True	2.3010299956639813
HK1	ENSG00000156515	True	2.298853076409707
HNRNPA3	ENSG00000170144	True	2.298853076409707
ADIPOQ	ENSG00000181092	True	2.298853076409707
TAGLN	ENSG00000149591	True	2.298853076409707
SERPINH1	ENSG00000149257	True	2.298853076409707
LIMS1	ENSG00000169756	True	2.294466226161593
RAC2	ENSG00000128340	True	2.294466226161593
LGALS3	ENSG00000131981	True	2.294466226161593
ACO2	ENSG00000100412	True	2.290034611362518
CALD1	ENSG00000122786	True	2.290034611362518
DSTN	ENSG00000125868	True	2.287801729930226
SEPTIN2	ENSG00000168385	True	2.287801729930226
CTSG	ENSG00000100448	True	2.285557309007774
FCER1G	ENSG00000158869	True	2.285557309007774
IGFBP5		False	2.285557309007774
SAR1A	ENSG00000079332	True	2.285557309007774
IGFALS	ENSG00000099769	True	2.2833012287035497
RPS10	ENSG00000124614	True	2.2810333672477277
PRMT1	ENSG00000126457	True	2.2810333672477277
TUBB8B	ENSG00000173213	True	2.2764618041732443
SRP14		False	2.2764618041732443
PRDX4	ENSG00000123131	True	2.2764618041732443
SH3BGRL2	ENSG00000198478	True	2.2764618041732443
ANXA7	ENSG00000138279	True	2.2764618041732443
PRG4	ENSG00000116690	True	2.2764618041732443
SERPINA4	ENSG00000100665	True	2.2764618041732443
PPA1	ENSG00000180817	True	2.2764618041732443
PSAP	ENSG00000197746	True	2.2764618041732443
ANXA4	ENSG00000196975	True	2.2764618041732443
TUFM	ENSG00000178952	True	2.2764618041732443
PRKCSH	ENSG00000130175	True	2.27415784926368
SLC25A3		False	2.27415784926368
PSMB2	ENSG00000126067	True	2.27415784926368
DCD	ENSG00000161634	True	2.271841606536499
PSMA7	ENSG00000101182	True	2.271841606536499
ACTN2	ENSG00000077522	True	2.2695129442179165
HSPA2	ENSG00000126803	True	2.2695129442179165
CNP	ENSG00000173786	True	2.2695129442179165
FASN	ENSG00000169710	True	2.2671717284030137
ATP5F1E		False	2.2671717284030137
FBLN1	ENSG00000077942	True	2.2648178230095364
FKBP4	ENSG00000004478	True	2.2624510897304293
RPL26	ENSG00000161970	True	2.2624510897304293
EHD1	ENSG00000110047	True	2.2600713879850747
CCDC25	ENSG00000147419	True	2.2600713879850747
UQCRC1	ENSG00000010256	True	2.2600713879850747
LASP1	ENSG00000002834	True	2.2600713879850747
RPS23	ENSG00000186468	True	2.2600713879850747
SRC	ENSG00000197122	True	2.2576785748691846
MAPRE1	ENSG00000101367	True	2.2576785748691846
PSMD11	ENSG00000108671	True	2.2576785748691846
H2AZ2	ENSG00000105968	True	2.2528530309798933
H2AZ1	ENSG00000164032	True	2.2528530309798933
PGRMC2	ENSG00000164040	True	2.2528530309798933
KRT6A	ENSG00000205420	True	2.250420002308894
ECH1	ENSG00000104823	True	2.250420002308894
FKBP3	ENSG00000100442	True	2.250420002308894
UBC	ENSG00000150991	True	2.247973266361807
KHDRBS1	ENSG00000121774	True	2.247973266361807
ARPC1B	ENSG00000130429	True	2.24551266781415
SPTAN1	ENSG00000197694	True	2.24551266781415
MT-CO2	ENSG00000198712	True	2.24551266781415
SRGN	ENSG00000122862	True	2.2430380486862944
CST4	ENSG00000101441	True	2.2430380486862944
SEPTIN6	ENSG00000125354	True	2.2430380486862944
SRSF2	ENSG00000161547	True	2.2405492482826
ACADVL	ENSG00000072778	True	2.2405492482826
G6PD	ENSG00000160211	True	2.2405492482826
RPN1	ENSG00000163902	True	2.2405492482826
ATP5F1D	ENSG00000099624	True	2.2405492482826
ATIC	ENSG00000138363	True	2.2380461031287955
CBR1	ENSG00000159228	True	2.2355284469075487
PCBP2	ENSG00000197111	True	2.2355284469075487
STATH	ENSG00000126549	True	2.2329961103921536
PDIA4	ENSG00000155660	True	2.2329961103921536
SND1	ENSG00000197157	True	2.2329961103921536
HLA-A		False	2.230448921378274
AZU1	ENSG00000172232	True	2.230448921378274
MACROH2A1	ENSG00000113648	True	2.230448921378274
SRI	ENSG00000075142	True	2.225309281725863
EDF1	ENSG00000107223	True	2.225309281725863
ATP5PF	ENSG00000154723	True	2.225309281725863
SHMT2	ENSG00000182199	True	2.225309281725863
FHL1	ENSG00000022267	True	2.2227164711475833
DARS1	ENSG00000115866	True	2.2227164711475833
WARS1	ENSG00000140105	True	2.2227164711475833
UQCRC2	ENSG00000140740	True	2.220108088040055
SFN	ENSG00000175793	True	2.220108088040055
EHD2	ENSG00000024422	True	2.220108088040055
SPTBN1	ENSG00000115306	True	2.220108088040055
C1RL	ENSG00000139178	True	2.220108088040055
TGM2	ENSG00000198959	True	2.2174839442139063
KRT19	ENSG00000171345	True	2.2174839442139063
CD36	ENSG00000135218	True	2.2174839442139063
ANP32E	ENSG00000143401	True	2.214843848047698
EIF2S1	ENSG00000134001	True	2.2121876044039577
KRT6C	ENSG00000170465	True	2.2121876044039577
F10		False	2.2121876044039577
LAP3	ENSG00000002549	True	2.2095150145426308
CPN1		False	2.2095150145426308
OGN	ENSG00000106809	True	2.2095150145426308
IGHV3-11		False	2.2095150145426308
PPP1CA	ENSG00000172531	True	2.2095150145426308
OLA1	ENSG00000138430	True	2.2068258760318495
ACLY	ENSG00000131473	True	2.2068258760318495
NAPA	ENSG00000105402	True	2.2068258760318495
COL6A1	ENSG00000142156	True	2.2041199826559246
RAB6B	ENSG00000154917	True	2.2041199826559246
ELAVL1	ENSG00000066044	True	2.2041199826559246
RNH1	ENSG00000023191	True	2.2013971243204513
CORO1B	ENSG00000172725	True	2.2013971243204513
DBNL	ENSG00000136279	True	2.2013971243204513
DDX39A	ENSG00000123136	True	2.2013971243204513
PRSS1	ENSG00000204983	True	2.1986570869544226
PRKAR1A	ENSG00000108946	True	2.1986570869544226
TREML1	ENSG00000161911	True	2.1986570869544226
PLIN4	ENSG00000167676	True	2.1931245983544616
PAICS	ENSG00000128050	True	2.1903316981702914
SETSIP	ENSG00000230667	True	2.187520720836463
VAPA	ENSG00000101558	True	2.187520720836463
IGKV2D-28		False	2.187520720836463
GOT2	ENSG00000125166	True	2.187520720836463
KRT82	ENSG00000161850	True	2.187520720836463
PPP1CB	ENSG00000213639	True	2.187520720836463
RNASE2	ENSG00000169385	True	2.187520720836463
PRSS2	ENSG00000275896	True	2.184691430817599
TOMM40	ENSG00000130204	True	2.184691430817599
EIF3F	ENSG00000175390	True	2.184691430817599
RPL35A		False	2.184691430817599
AOC3	ENSG00000131471	True	2.1818435879447726
DYNLL1		False	2.1818435879447726
RPN2	ENSG00000118705	True	2.1789769472931693
STXBP2	ENSG00000076944	True	2.1789769472931693
DDX3X	ENSG00000215301	True	2.1760912590556813
DCN	ENSG00000011465	True	2.1760912590556813
MYH10	ENSG00000133026	True	2.1760912590556813
DUSP3		False	2.173186268412274
ACAT2	ENSG00000120437	True	2.173186268412274
YARS1	ENSG00000134684	True	2.1702617153949575
BAX	ENSG00000087088	True	2.1702617153949575
IDH1	ENSG00000138413	True	2.1702617153949575
CFHR5	ENSG00000134389	True	2.1702617153949575
GLO1	ENSG00000124767	True	2.1702617153949575
ARF5		False	2.1702617153949575
DIAPH1	ENSG00000131504	True	2.167317334748176
ILF2	ENSG00000143621	True	2.167317334748176
POTEF	ENSG00000196604	True	2.167317334748176
RPS16	ENSG00000105193	True	2.164352855784437
HSPA4	ENSG00000170606	True	2.164352855784437
COX5A	ENSG00000178741	True	2.161368002234975
KRT17	ENSG00000128422	True	2.161368002234975
S100A6	ENSG00000197956	True	2.161368002234975
CRYBB2	ENSG00000244752	True	2.161368002234975
PCMT1	ENSG00000120265	True	2.161368002234975
RAC1	ENSG00000136238	True	2.161368002234975
G3BP1	ENSG00000145907	True	2.161368002234975
AKR1B1	ENSG00000085662	True	2.161368002234975
TBCA	ENSG00000171530	True	2.1583624920952498
EHD3	ENSG00000013016	True	2.1583624920952498
MGST3	ENSG00000143198	True	2.1583624920952498
ITIH3	ENSG00000162267	True	2.1583624920952498
HYOU1	ENSG00000149428	True	2.1583624920952498
NUDC	ENSG00000090273	True	2.1583624920952498
MB	ENSG00000198125	True	2.1583624920952498
DHX9	ENSG00000135829	True	2.1583624920952498
EIF5A2	ENSG00000163577	True	2.1522883443830563
PYGL	ENSG00000100504	True	2.1522883443830563
APRT	ENSG00000198931	True	2.1522883443830563
PMP2		False	2.1492191126553797
U2AF2	ENSG00000063244	True	2.1492191126553797
SUMO2	ENSG00000188612	True	2.1492191126553797
ATP5ME	ENSG00000169020	True	2.1492191126553797
PSMB6	ENSG00000142507	True	2.146128035678238
FABP1	ENSG00000163586	True	2.146128035678238
SNAP23	ENSG00000092531	True	2.146128035678238
RARRES2		False	2.146128035678238
DECR1	ENSG00000104325	True	2.143014800254095
EIF4H	ENSG00000106682	True	2.143014800254095
PPP1CC	ENSG00000186298	True	2.143014800254095
SEC22B		False	2.143014800254095
ARF4		False	2.143014800254095
PRELP		False	2.143014800254095
ADH1B	ENSG00000196616	True	2.143014800254095
